drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
ZDA,2,Poulter,Podajalka,29,31/07/1997,188cm,13,1.86,4,36.36%,0.57,5,11.11%,0.71,4,3.70%,0.57
ZDA,3,A. Skinner,Sprejemalka,27,25/04/1999,186cm,129,10.75,111,45.49%,9.25,8,17.78%,0.67,10,7.14%,0.83
ZDA,6,Hentz,Libero,28,27/07/1998,175cm,1,0.08,0,-,-,0,-,-,1,20.00%,0.08
ZDA,7,O'Neal,Srednja blokerka,26,23/10/1999,190cm,81,6.23,53,50.96%,4.08,24,22.22%,1.85,4,4.17%,0.31
ZDA,8,Rodriguez,Libero,23,11/03/2003,165cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
ZDA,10,Wank,Sprejemalka,29,07/10/1996,186cm,77,5.92,68,45.33%,5.23,4,11.11%,0.31,5,6.17%,0.38
ZDA,11,Ka'aha'aina-Torres,Podajalka,26,30/07/2000,183cm,8,0.62,4,80.00%,0.31,1,7.14%,0.08,3,3.19%,0.23
ZDA,12,Thompson,Korektorica,29,05/05/1997,193cm,160,12.31,137,49.28%,10.54,16,19.05%,1.23,7,6.31%,0.54
ZDA,16,Rettke,Srednja blokerka,27,21/01/1999,203cm,63,7.00,41,55.41%,4.56,21,21.88%,2.33,1,1.49%,0.11
ZDA,24,Ogbogu,Srednja blokerka,31,15/04/1995,188cm,31,3.44,18,43.90%,2.00,12,20.00%,1.33,1,2.00%,0.11
ZDA,27,Banks,Sprejemalka,25,08/01/2001,188cm,37,2.85,32,30.77%,2.46,4,23.53%,0.31,1,1.75%,0.08
ZDA,29,McCage,Srednja blokerka,32,02/02/1994,191cm,37,2.85,17,45.95%,1.31,15,27.78%,1.15,5,11.36%,0.38
ZDA,33,Eggleston,Sprejemalka,25,13/11/2000,185cm,119,9.15,98,41.00%,7.54,12,21.43%,0.92,9,6.12%,0.69
ZDA,34,Samedy,Korektorica,27,27/09/1998,188cm,81,6.23,75,48.70%,5.77,5,10.64%,0.38,1,4.00%,0.08
ZDA,1,Hancock,Podajalka,33,10/11/1992,180cm,8,1.33,4,36.36%,0.67,1,10.00%,0.17,3,5.88%,0.50
