drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Ukrajina,7,Synytsia,Podajalec,32,22/08/1993,194cm,20,1.67,4,44.44%,0.33,10,18.18%,0.83,6,4.65%,0.50
Ukrajina,8,Yanchuk,Sprejemalec,27,19/05/1999,197cm,123,10.25,91,47.64%,7.58,11,25.00%,0.92,21,13.38%,1.75
Ukrajina,10,Semeniuk,Srednji bloker,32,12/05/1994,210cm,119,9.92,78,59.54%,6.50,28,21.05%,2.33,13,8.33%,1.08
Ukrajina,13,Tupchii,Korektor,34,13/01/1992,194cm,155,12.92,124,48.82%,10.33,16,21.92%,1.33,15,9.26%,1.25
Ukrajina,14,Kovalov,Sprejemalec,29,31/08/1996,190cm,116,9.67,100,46.51%,8.33,11,17.19%,0.92,5,5.26%,0.42
Ukrajina,15,Shchytkov,Podajalec,34,25/11/1991,186cm,3,0.33,2,66.67%,0.22,1,4.76%,0.11,0,0.00%,0.00
Ukrajina,19,Boiko,Sprejemalec,21,28/02/2005,185cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Ukrajina,21,Kisiliuk,Sprejemalec,31,27/01/1995,197cm,5,0.42,4,57.14%,0.33,1,33.33%,0.08,0,0.00%,0.00
Ukrajina,23,Veletskyi,Srednji bloker,26,15/01/2000,205cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Ukrajina,24,Pampushko,Libero,24,11/11/2001,180cm,0,0.00,0,-,-,0,-,-,0,-,-
Ukrajina,26,Tonkonoh,Korektor,18,22/10/2007,214cm,43,5.38,38,55.07%,4.75,5,22.73%,0.62,0,0.00%,0.00
Ukrajina,27,Shchurov,Srednji bloker,25,27/04/2001,208cm,74,6.17,53,72.60%,4.42,20,17.70%,1.67,1,0.93%,0.08
ZDA,1,Anderson,Sprejemalec,39,18/04/1987,202cm,138,11.50,114,48.31%,9.50,13,18.31%,1.08,11,7.24%,0.92
ZDA,3,Briggs,Libero,25,21/01/2001,182cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
ZDA,4,Jendryk,Srednji bloker,30,15/09/1995,208cm,59,4.92,43,57.33%,3.58,13,16.05%,1.08,3,3.33%,0.25
ZDA,6,Robinson,Sprejemalec,23,08/08/2002,202cm,17,2.43,12,42.86%,1.71,2,25.00%,0.29,3,13.04%,0.43
ZDA,8,Defalco,Sprejemalec,29,10/04/1997,198cm,63,9.00,46,42.59%,6.57,7,21.88%,1.00,10,12.20%,1.43
ZDA,11,Christenson,Podajalec,33,08/05/1993,198cm,18,2.25,6,60.00%,0.75,8,16.00%,1.00,4,3.60%,0.50
ZDA,13,Averill,Srednji bloker,34,05/03/1992,201cm,40,3.33,33,70.21%,2.75,6,12.77%,0.50,1,1.64%,0.08
